job_title,category,clean_job_title
IT Berater Salesforce / CRM Applikationen für Banken (m/w/d),IT,"['information', 'technology', 'consultant', 'salesforce', 'customer', 'relationship', 'management', 'application', 'bank']"
Data Specialist (w/m/d) für Supply Chain Management & Einkauf,IT,"['data', 'specialist', 'supply', 'chain', 'management', 'purchasing']"
Gärtnermeister / Gärtner im Garten- und Landschaftsbau oder Techniker Gartenbau als Stadtgartenleiter (m/w/d),Sales,"['master', 'gardener', 'horticulture', 'landscaping', 'horticultural', 'technician', 'city', 'gardening', 'manager']"
IT Experte - Anforderungsmanagement Instandhaltung / SAP (w/m/d),IT,"['information', 'technology', 'expert', 'requirement', 'management', 'maintenance', 'system', 'application', 'product']"
Group Key Account Manager (w/m/d),Sales,"['group', 'key', 'account', 'manager']"
Vertriebsmitarbeiter (m/w/d) Innendienst,Sales,"['internal', 'sale', 'representative']"
Regionalleitung (m/w/d) Mitte-West,Sales,"['regional', 'management', 'centerwest']"
IT Support Specialist (m/w),IT,"['information', 'technology', 'support', 'specialist']"
Werkstudent Sales Support Key-Account Management (m/w/d),Sales,"['working', 'student', 'sale', 'support', 'key', 'account', 'management']"
Experte Onlineprozesse Logistik International (m/w/d),IT,"['expert', 'online', 'process', 'logistics', 'international']"
Praktikant (m/w/d) f&#252;r User Experience Research (UX / UI) in M&#252;nchen,Marketing and Communication,"['intern', 'user', 'experience', 'research', 'user', 'experience', 'user', 'interface', 'munich']"
Vertriebsmitarbeiter / Sales Manager (m/w/x) im Außendienst von Werbung & digitalen Medien,Sales,"['sale', 'representative', 'sale', 'manager', 'field', 'advertising', 'digital', 'medium']"
Senior (Geo-) Media Planner (all gender),Marketing and Communication,"['geo', 'medium', 'planner', 'gender']"
(Senior) Consultant (m/w/d) Information Management,IT,"['consultant', 'information', 'management']"
Gärtnermeister / Gärtner im Garten- und Landschaftsbau oder Techniker Gartenbau als Stadtgartenleiter (m/w/d),Sales,"['master', 'gardener', 'horticulture', 'landscaping', 'horticultural', 'technician', 'city', 'gardening', 'manager']"
Techniker / Ingenieur (m/w/d) für die Integration von nautischen Simulatoren,IT,"['technician', 'engineer', 'integration', 'nautical', 'simulator']"
Verkaufsberater im Außendienst (m/w/d) mit Einsatz in Wohnortnähe,Sales,"['sale', 'advisor', 'field', 'work', 'close', 'home']"
Junior-Verkäufer (m/w/d) im Außendienst,Sales,"['salesman', 'field']"
Software Developer (m/w/d),IT,"['software', 'developer']"
Werkstudent im Bereich Senior Executive Services ab Februar 2020,IT,"['working', 'student', 'executive', 'service']"
Consultant Agile Project Management (m/w/d),IT,"['consultant', 'agile', 'project', 'management']"
SAP Consultant (m/w/x),IT,"['system', 'application', 'product', 'consultant']"
SAP Inhouse Consultants (m/w/d) Vollzeit oder gerne auch in Teilzeit/Jobsharing,IT,"['system', 'application', 'product', 'inhouse', 'consultant', 'fulltime', 'parttime', 'job', 'sharing']"
Vertrieb Teamleiter B2B (m/w/d) Werbemittelhandel / Kooperationsgeschäfte,Sales,"['sale', 'team', 'leader', 'business', 'business', 'advertising', 'material', 'trade', 'cooperation', 'business']"
Student (m/w/d) für ein Praktikum im Bereich Market Intelligence,Marketing and Communication,"['student', 'internship', 'field', 'market', 'intelligence']"
Java Principal Consultant/Developer (m/w/d),IT,"['java', 'principal', 'consultant', 'developmenteloper']"
Praktikant (w/m/d) Tax Technology and Transformation,IT,"['intern', 'tax', 'technology', 'transformation']"
Sachbearbeiter (m/w/d) Vertriebsinnendienst Italien,Sales,"['internal', 'sale', 'clerk', 'italy']"
IT Administrator (m/w/x) mit Schwerpunkt Virtualisierung & Cloud Transformation,IT,"['information', 'technology', 'administrator', 'focus', 'virtualization', 'cloud', 'transformation']"
Business Development Manager/ Vertriebsmanager (m/w/d) im Innendienst,Sales,"['business', 'development', 'manager', 'sale', 'manager', 'office']"
Praktikant*in im Bereich Marketing und Kommunikation,Marketing and Communication,"['intern', 'field', 'marketing', 'communication']"
Sachbearbeiter Kundenservice (m/w/d),Sales,"['customer', 'service', 'clerk']"
Account Manager im Außendienst d/m/w bei codesi / dress&safe,Sales,"['account', 'manager', 'field', 'codesi', 'dress', 'safe']"
Manager (m/w/d) Unternehmenskommunikation,Marketing and Communication,"['corporate', 'communication', 'manager']"
Kaufmännischer Mitarbeiter Energiewirtschaft (m/w/d),Sales,"['commercial', 'employee', 'energy', 'industry']"
Mitarbeiter (m/w/d) im telefonischen Kundenservice für eine der größten Direktbanken in Hannover,Sales,"['employee', 'telephone', 'customer', 'service', 'one', 'largest', 'direct', 'bank', 'hanover']"
Vertriebsmitarbeiter im Außendienst (m/w/d),Sales,"['sale', 'representative', 'field']"
Praktikant (m/w/divers) Information Research,Marketing and Communication,"['information', 'research', 'intern']"
Abteilungsleiter (w/m/d) Customer Service Leasing,Sales,"['head', 'customer', 'service', 'leasing']"
Key Account Manager (m/w/d) Versicherungsplattform,Sales,"['key', 'account', 'manager', 'insurance', 'platform']"
Germany Sales Manager - Electronics Division (Home-Office) (m/w/d),Sales,"['germany', 'sale', 'manager', 'electronics', 'division', 'home', 'office']"
(Senior) IT System Engineer Communication (Skype for Business / VoIP / Video Backoffice) (m/w/d),IT,"['information', 'technology', 'system', 'engineer', 'communication', 'skype', 'business', 'voice', 'internet', 'protocol', 'video', 'backoffice']"
SAP Berechtigungsadministrator (gn),IT,"['system', 'application', 'product', 'authorization', 'administrator', 'gn']"
Web-Applikationsentwickler/in für moderne Frontend Lösungen (m/w/d),IT,"['web', 'application', 'developer', 'modern', 'frontend', 'solution']"
Mitarbeiter Konferenz- & Bankettservice (m/w/d),Marketing and Communication,"['employee', 'conference', 'banquet', 'service']"
Teamleiter Rollout SAP PA - Stammdaten (m/w/d),IT,"['team', 'leader', 'rollout', 'system', 'application', 'product', 'personal', 'assistant', 'master', 'data']"
Release-Koordinator (m/w/d),IT,"['release', 'coordinator']"
"Projektassistent Vertrieb (Schweden/Norwegen) m/w/d, 20h/Woche, befristet für 2 Jahre",Marketing and Communication,"['sale', 'project', 'assistant', 'h', 'week', 'limited']"
Praktikant (w/m/d) Sales Operations,Sales,"['intern', 'sale', 'operation']"
Market Manager (m/f/d) Pharma & Biopharma,Marketing and Communication,"['market', 'manager', 'pharma', 'biopharma']"
Senior Consultant / Manager Technology Consulting - Financial Services (w/m/d),IT,"['consultant', 'manager', 'technology', 'consulting', 'financial', 'service']"
Professional Service (m/w/d),IT,"['professional', 'service']"
IT Anwendungsbetreuer (w/m/d),IT,"['information', 'technology', 'application', 'supervisor']"
Technischer Berater im Außendienst (m/w),Sales,"['technical', 'consultant', 'field']"
Penetration Tester | IT-Security Engineer (m/w/d) | Offensive Cyber Security | Applications and Infrastructure,IT,"['penetration', 'tester', 'information', 'technology', 'security', 'engineer', 'offensive', 'cyber', '\u200b\u200bsecurity', 'application', 'infrastructure']"
IT-Mitarbeiter (m/w/d),IT,"['information', 'technology', 'staff']"
Praktikum im Bereich IT Architektur und digitale Innovation ab Februar 2020,IT,"['internship', 'information', 'technology', 'architecture', 'digital', 'innovation']"
(Senior) DevOps Engineer (m/w/d),IT,"['developmentops', 'engineer']"
Projekt Manager / Conference Manager (m/w/d),Sales,"['project', 'manager', 'conference', 'manager']"
Sales Manager (m/w/d) im B2B-Großkundenvertrieb,Sales,"['sale', 'manager', 'business', 'business', 'largescale', 'customer', 'sale']"
Softwareentwickler Java / Semantic Web (m/w/d),IT,"['software', 'developer', 'java', 'semantic', 'web']"
Cloud Security Engineer (m/w/d),IT,"['cloud', 'security', 'engineer']"
Trainee technisches Produktmanagement (m/w/d),Marketing and Communication,"['technical', 'product', 'management', 'trainee']"
Kaufmännischer Mitarbeiter (m/w/d) für Auftragsmanagement,Sales,"['commercial', 'employee', 'order', 'management']"
Junior Sales Consultant (m/w/d) - Junior Account Manager,Sales,"['sale', 'consultant', 'account', 'manager']"
Pharmazeutisch-technischer Assistent / PTA (m/w/d),Sales,"['pharmaceutical', 'technical', 'assistant', 'pta']"
Mitarbeiter (m/w/d) IT Service Management,IT,"['information', 'technology', 'service', 'management', 'employee']"
(Senior) Project Manager für SAP Basis Projekte (m/w/d),IT,"['project', 'manager', 'system', 'application', 'product', 'basis', 'project']"
Scrum Master / Agile Coach (m/w/d),IT,"['scrum', 'master', 'agile', 'coach']"
Solution Architect (m/w/d) Microsoft Office 365,IT,"['solution', 'architect', 'microsoft', 'office']"
Praktikant*in Berechtigungsmanagement und Informationssicherheit,IT,"['internship', 'authorization', 'management', 'information', 'security']"
(Junior-)Administrator Systemmanagement (m/w/d) mit Schwerpunkt SAP,IT,"['administrator', 'system', 'management', 'focus', 'system', 'application', 'product']"
B2B Telesales (Agent)/ Kundenberater im Innendienst/ Call Center Agent/ Dialogcenter Agent auch Quereinsteiger (m/w/d),Sales,"['business', 'business', 'telesales', 'agent', 'customer', 'advisor', 'office', 'call', 'center', 'agent', 'dialog', 'center', 'agent', 'also', 'lateral', 'entrant']"
Vertriebsmitarbeiter (m/w/d),Sales,"['sale', 'staff']"
Nachwuchs-Verkäufer Pkw (m/w/d),Sales,"['new', 'generation', 'car', 'salesman']"
Wissenschaftlicher Mitarbeiter (m/w/d) im Bereich Computergrafik am Institut für Games,IT,"['research', 'assistant', 'field', 'computer', 'graphic', 'institute', 'game']"
"Datenbankadministrator (m/w/d) MS SQL, DBMS",IT,"['database', 'administrator', 'm', 'structured', 'query', 'language', 'dbusiness', 'manager']"
Mitarbeiter (m/w/d) schriftlicher Kundenservice Schwerpunkt Bestellerfassung,Sales,"['employee', 'written', 'customer', 'service', 'focus', 'order', 'entry']"
Verkäufer (m/w/d) Projektbereich Badplanung,Sales,"['seller', 'project', 'area', 'bathroom', 'planning']"
Kundenbetreuer (m/w/d) Kundenservice,Sales,"['customer', 'service', 'representative']"
IT-Systemadministrator (m/w/d) für unsere interne IT,IT,"['information', 'technology', 'system', 'administrator', 'internal', 'information', 'technology']"
Product and Portfolio Manager INN OTC (w/m/d),Marketing and Communication,"['product', 'portfolio', 'manager', 'inn', 'otc']"
Netzwerkadministrator (m/w/d),IT,"['network', 'administrator']"
Java Developer (m/w/d) Underwriting,IT,"['java', 'developmenteloper', 'underwriting']"
Key Account Manager B2B (m/w/d),Sales,"['key', 'account', 'manager', 'business', 'business']"
Teamleiter (m/w/d) in der Privatkundenbetreuung,Sales,"['team', 'leader', 'private', 'customer', 'care']"
IT-Projektleiter (m/w/d),IT,"['information', 'technology', 'project', 'manager']"
