,job_title,category,clean_job_title
0,IT Berater Salesforce / CRM Applikationen für Banken (m/w/d),IT,IT consultant Salesforce / CRM applications for banks
1,Data Specialist (w/m/d) für Supply Chain Management & Einkauf,IT,Data specialist for supply chain management & purchasing
2,Gärtnermeister / Gärtner im Garten- und Landschaftsbau oder Techniker Gartenbau als Stadtgartenleiter (m/w/d),Sales,Master gardener in horticulture and landscaping or horticultural technician as city gardening manager
3,IT Experte - Anforderungsmanagement Instandhaltung / SAP (w/m/d),IT,IT expert - requirements management maintenance / SAP
4,Group Key Account Manager (w/m/d),Sales,Group Key Account Manager
5,Vertriebsmitarbeiter (m/w/d) Innendienst,Sales,Internal sales representative
6,Regionalleitung (m/w/d) Mitte-West,Sales,Regional management center-west
7,IT Support Specialist (m/w),IT,IT support specialist
8,Werkstudent Sales Support Key-Account Management (m/w/d),Sales,Working student sales support key account management
9,Experte Onlineprozesse Logistik International (m/w/d),IT,Expert online processes logistics international
10,Praktikant (m/w/d) für User Experience Research (UX / UI) in München,Marketing and Communication,Intern for User Experience Research (UX / UI) in Munich
11,Vertriebsmitarbeiter / Sales Manager (m/w/x) im Außendienst von Werbung & digitalen Medien,Sales,Sales representative / sales manager in the field of advertising and digital media
12,Senior (Geo-) Media Planner (all gender),Marketing and Communication,Senior (Geo-) Media Planner (all gender)
13,(Senior) Consultant (m/w/d) Information Management,IT,(Senior) Consultant Information Management
14,Gärtnermeister / Gärtner im Garten- und Landschaftsbau oder Techniker Gartenbau als Stadtgartenleiter (m/w/d),Sales,Master gardener in horticulture and landscaping or horticultural technician as city gardening manager
15,Techniker / Ingenieur (m/w/d) für die Integration von nautischen Simulatoren,IT,Technician / engineer for the integration of nautical simulators
16,Verkaufsberater im Außendienst (m/w/d) mit Einsatz in Wohnortnähe,Sales,Sales advisor in the field with work close to home
17,Junior-Verkäufer (m/w/d) im Außendienst,Sales,Junior salesman in the field
18,Software Developer (m/w/d),IT,Software developer
19,Werkstudent im Bereich Senior Executive Services ab Februar 2020,IT,Working student in Senior Executive Services from February
20,Consultant Agile Project Management (m/w/d),IT,Consultant Agile Project Management
21,SAP Consultant (m/w/x),IT,SAP consultant
22,SAP Inhouse Consultants (m/w/d) Vollzeit oder gerne auch in Teilzeit/Jobsharing,IT,SAP in-house consultants full-time or part-time / job sharing
23,Vertrieb Teamleiter B2B (m/w/d) Werbemittelhandel / Kooperationsgeschäfte,Sales,Sales team leader BB advertising material trade / cooperation business
24,Student (m/w/d) für ein Praktikum im Bereich Market Intelligence,Marketing and Communication,Student for an internship in the field of market intelligence
25,Java Principal Consultant/Developer (m/w/d),IT,Java Principal Consultant / Developer
26,Praktikant (w/m/d) Tax Technology and Transformation,IT,Intern Tax Technology and Transformation
27,Sachbearbeiter (m/w/d) Vertriebsinnendienst Italien,Sales,Internal sales clerk Italy
28,IT Administrator (m/w/x) mit Schwerpunkt Virtualisierung & Cloud Transformation,IT,IT administrator with a focus on virtualization & cloud transformation
29,Business Development Manager/ Vertriebsmanager (m/w/d) im Innendienst,Sales,Business development manager / sales manager in the office
30,Praktikant*in im Bereich Marketing und Kommunikation,Marketing and Communication,Intern in the field of marketing and communication
31,Sachbearbeiter Kundenservice (m/w/d),Sales,Customer service clerk
32,Account Manager im Außendienst d/m/w bei codesi / dress&safe,Sales,Account manager in the field d / m / w at codesi / dress & safe
33,Manager (m/w/d) Unternehmenskommunikation,Marketing and Communication,Corporate Communications Manager
34,Kaufmännischer Mitarbeiter Energiewirtschaft (m/w/d),Sales,Commercial employee in the energy industry
35,Mitarbeiter (m/w/d) im telefonischen Kundenservice für eine der größten Direktbanken in Hannover,Sales,Employee in the telephone customer service for one of the largest direct banks in Hanover
